caldt,vwretd,ewretd,sprtrn,CAP1RET,CAP2RET,CAP3RET,CAP4RET,CAP5RET,CAP6RET,CAP7RET,CAP8RET,CAP9RET,CAP10RET
19260709,-0.006943,-0.004331,,0.002858,-0.002914,0.000696,-0.000858,-0.007256,0.000191,-0.004559,-0.008188,-0.007594,-0.007479
19260710,0.006049,0.004114,,0.005151,0.005987,0.004575,0.000204,0.002900,0.003653,0.004016,0.005400,0.007532,0.006309
19260712,0.000574,0.000190,,0.008691,0.004435,0.004407,0.004043,-0.002729,0.001315,-0.000141,-0.001920,0.001565,0.000585
19260713,0.004861,0.004357,,0.012332,0.002345,0.000316,0.007270,0.003792,0.002905,0.004135,0.004706,0.001533,0.006074
19260714,0.000547,0.000111,,-0.009576,-0.001148,0.003007,-0.003777,0.002675,-0.003249,0.002932,-0.000843,0.003869,-0.000169
19260715,-0.004272,-0.001568,,0.010184,0.002254,-0.000693,-0.003915,-0.002819,-0.002936,-0.003577,-0.006068,-0.004987,-0.004155
19260716,0.005227,0.004378,,0.005793,0.003132,0.002160,0.007291,0.006037,0.003404,0.003157,0.004183,0.008324,0.004706
19260717,0.003620,0.003605,,-0.003012,0.007125,0.000232,0.011416,0.004644,0.003242,0.000244,0.002280,0.003639,0.003935
19260719,0.000018,-0.000030,,-0.005162,-0.000206,-0.006938,0.001762,0.000688,-0.003808,-0.002296,0.001898,-0.000877,0.000444
19260720,-0.005616,-0.006257,,-0.007583,-0.007202,-0.003136,-0.010597,-0.008460,-0.002953,-0.007080,0.004546,-0.009563,-0.005802
19260721,-0.006022,-0.004746,,-0.014597,-0.006969,-0.000988,-0.005480,-0.002125,-0.005164,-0.005878,-0.016357,-0.005504,-0.004806
19260722,-0.007135,-0.008241,,-0.018178,-0.010549,-0.006289,-0.009746,-0.012566,-0.003512,-0.006051,-0.009278,-0.008412,-0.006328
19260723,-0.000031,0.000913,,0.001104,0.002664,0.001414,0.003789,-0.001706,-0.000185,-0.000697,0.000670,0.001463,-0.000625
19260724,-0.001188,0.002290,,0.000882,0.003520,0.005189,0.003076,0.002022,0.000094,0.002252,-0.002921,-0.001440,-0.001608
19260726,0.005304,0.001363,,-0.007572,-0.001229,0.000892,0.000598,0.002824,0.001953,0.003694,0.002246,0.005159,0.006521
19260727,0.004295,0.003055,,0.010403,0.008269,0.000990,-0.000427,0.004373,0.002776,0.004001,0.004851,0.005695,0.004031
19260728,0.010862,0.010771,,0.018768,0.005709,0.008647,0.010886,0.006719,0.004272,0.011052,0.009161,0.012600,0.011134
19260729,0.003664,-0.003657,,-0.004839,-0.008520,-0.002628,-0.005188,-0.004111,0.002606,-0.001051,-0.000313,0.002851,0.005825
19260730,0.001424,0.001091,,0.000448,0.002789,-0.001631,-0.001998,-0.000138,0.000313,-0.001291,-0.001285,-0.000320,0.002876
19260731,0.004655,0.004031,,0.001030,0.008151,-0.002942,0.001594,-0.001482,0.007555,0.002183,0.004673,0.007903,0.004179
19260802,0.008362,0.007227,,0.006528,0.004355,0.009432,0.002140,0.008993,0.005296,0.009744,0.003481,0.006552,0.009874
19260803,0.004673,0.003356,,-0.004781,-0.001271,0.002938,0.005299,0.006853,0.004247,0.005800,0.005585,-0.000523,0.006032
19260804,-0.003577,-0.000513,,-0.000006,0.004105,-0.000746,-0.004628,-0.002157,0.002881,-0.000159,-0.002786,-0.002382,-0.004816
19260805,-0.000813,0.001886,,-0.000138,0.005235,0.001625,0.010210,0.003668,0.000661,0.000857,-0.000868,-0.002188,-0.001188
19260806,0.006960,0.006335,,0.000328,0.013647,0.009573,0.004346,0.012625,0.003760,0.010215,0.003581,0.007122,0.006999
19260807,0.004663,0.005135,,0.010140,0.006143,0.003938,0.004890,0.003445,-0.000894,0.003640,0.003784,0.001881,0.006092
19260809,0.002218,0.001342,,0.000862,0.006834,0.003607,0.001541,0.000423,0.006776,0.007202,0.003397,0.000088,0.002064
